,accum,min,max,closed
817,0.0,50.9,68.31,0
819,0.0,62.91,71.85,0
821,0.0,66.37,74.02,0
822,0.0,66.88,73.66,0
823,0.0,72.97,90.45,0
825,0.0,59.5,81.76,0
826,0.0,64.48,86.35,0
827,0.0,56.88,64.06,0
828,0.0,52.5,68.18,0
830,0.0,68.06,73.99,0
831,0.0,68.15,80.6,0
832,0.0,62.79,76.42,0
833,0.0,57.39,77.34,0
835,0.0,59.37,68.6,0
836,0.0,55.78,60.72,0
837,0.0,55.06,58.43,0
838,0.0,56.05,59.37,0
840,0.0,51.94,60.37,0
841,0.0,48.4,59.24,0
842,0.0,48.2,65.12,0
843,0.0,54.18,68.36,0
845,0.0,48.65,61.73,0
846,0.0,52.75,70.43,0
847,0.0,45.54,57.91,0
849,0.0,57.79,68.76,0
850,0.0,63.19,79.87,0
851,0.0,55.78,61.99,0
852,0.0,57.78,72.94,0
854,0.0,39.28,48.05,0
855,0.0,36.76,47.41,0
856,0.0,34.57,47.54,0
857,0.0,44.84,53.89,0
859,0.0,34.86,50.47,0
860,0.0,46.11,67.85,0
861,0.0,51.79,62.99,0
862,0.0,39.99,55.28,0
864,0.0,35.74,58.36,0
865,0.0,46.64,60.55,0
866,0.0,38.28,52.29,0
868,0.0,48.18,55.69,0
869,0.0,50.46,55.13,0
870,0.0,45.4,55.58,0
871,0.0,42.04,61.17,0
873,0.0,32.18,42.89,0
874,0.0,32.61,43.79,0
877,0.0,35.73,57.5,0
878,0.0,44.56,51.87,0
879,0.0,44.18,56.3,0
880,0.0,39.67,49.87,0
882,0.0,33.95,42.36,0
883,0.0,36.62,40.9,0
884,0.0,34.99,42.38,0
885,0.0,26.76,36.13,0
887,0.0,34.48,41.4,0
888,0.0,28.56,41.3,0
889,0.0,19.48,31.28,0
890,0.0,5.06,19.91,0
892,0.0,18.12,33.94,0
894,0.0,33.3,39.15,0
895,0.0,32.14,44.01,0
896,0.0,34.49,39.78,0
898,0.0,35.72,41.82,0
899,0.0,36.55,43.3,0
900,0.0,38.47,50.21,0
901,0.0,37.0,43.34,0
903,0.301,20.2,28.35,0
904,0.276,27.93,41.6,0
905,0.0,29.91,39.27,0
906,0.0,24.92,32.27,0
908,0.0,33.07,37.76,0
909,0.259,26.46,50.44,0
910,6.397,12.64,37.89,1
911,15.024000000000001,11.95,24.66,0
913,0.032,22.13,34.85,0
914,0.0,28.08,40.89,0
915,0.311,28.36,34.25,0
916,0.0,24.39,39.71,0
918,0.0,38.32,54.29,0
919,0.0,41.09,66.16,0
920,0.0,49.59,70.97,0
922,0.0,39.08,51.64,0
923,0.0,48.12,62.09,0
924,0.0,32.53,59.42,0
925,0.0,23.59,35.25,0
927,0.0,31.91,47.7,0
928,0.0,46.51,56.58,0
929,0.0,39.24,49.4,0
930,0.809,24.61,38.29,0
932,5.42,27.28,38.38,1
933,0.048,19.27,28.71,0
934,0.0,22.02,34.29,0
935,0.0,26.62,41.45,0
937,0.0,39.32,52.56,0
938,0.0,19.38,42.9,0
939,0.0,18.63,37.89,0
940,0.0,29.16,45.05,0
942,0.0,36.87,42.0,0
943,0.0,36.99,45.44,0
944,0.0,33.81,47.26,0
945,3.775,34.7,40.05,0
947,0.0,38.69,42.41,0
948,0.0,38.19,44.65,0
949,0.0,38.32,48.43,0
950,0.0,42.12,51.7,0
